symbol,caption,molecular_weight
pH,pH,1
N,N,14.007
Na,Na,22.99
Ca,Ca,40.078
Mg,Mg,24.305
K,K,39.098
Al,Al,26.982
Si,Si,28.085
Fe,Fe,55.845
Mn,Mn,54.938
Sr,Sr,87.62
Ba,Ba,137.33
P,P,30.974
C(4),C(4),12.011
Hfo_s,Hfo_s,1
Hfo_w,Hfo_w,1
m_CaX2,CaX2,1
m_KX,KX,1
m_MgX2,MgX2,1
m_NaX,NaX,1
m_FeX2,FeX2,1
m_MnX2,MnX3,1
m_SrX2,SrX2,1
m_AlX3,AlX3,1
m_BaX2,BaX2,1
m_Hfo_wH2PO4,Hfo_wH2PO4,1
m_Hfo_wHPO4-,Hfo_wHPO4-,1
Al(OH)3(a),Al(OH)3(a),78.003
Calcite,Calcite,100.086
SiO2(a),SiO2(a),60.083
Gibbsite,Gibbsite,78.003
Goethite,Goethite,106.866
Kaolinite,Kaolinite,258.157
Fe(OH)3(a),Fe(OH)3(a),106.866
Pyrolusite,Pyrolusite,86.936
k_Quartz,Quartz,60.083
k_Plagioclase,Plagioclase,270.0765
k_Apatite,Apatite,462.229
k_Diopside_Mn,Diopside_Mn,211.89213
k_Diopside,Diopside,217.03085
k_Olivine,Olivine,170.9699
k_Alkali-feldspar,Alkali-feldspar,269.30283
k_Montmorillonite,Montmorillonite,384.3548
k_Ilmenite,Ilmenite,154.9002
k_Glass,Glass,98.87885
k_MikeSorghum,MikeSorghum,1434.652187
SurfH_Ca,SurfH_Ca,1
SurfH_Mg,SurfH_Mg,1
SurfH_H,SurfH_H,1
Hfo_PO4,Hfo_PO4,1
si_Al(OH)3(a),SI_Al(OH)3(a),1
si_Calcite,SI_Calcite,1
si_SiO2(a),SI_SiO2(a),1
si_Gibbsite,SI_Gibbsite,1
si_Fe(OH)3(a),SI_Fe(OH)3(a),1
si_Pyrolusite,SI_Pyrolusite,1
si_Kaolinite,SI_Kaolinite,1
si_Quartz,SI_Quartz,1
si_Plagioclase,SI_Plagioclase,1
si_Apatite,SI_Apatite,1
si_Diopside_Mn,SI_Diopside_Mn,1
si_Diopside,SI_Diopside,1
si_Olivine,SI_Olivine,1
si_Alkali-feldspar,SI_Alkali-feldspar,1
si_Montmorillonite,SI_Montmorillonite,1
si_Ilmenite,SI_Ilmenite,1
si_Glass,SI_Glass,1
